央视频道,#genre#
香港衛視,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港衛視,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港開電視,http://media.fantv.hk/m3u8/archive/channel2_stream1.m3u8
台湾牧者频道,https://live.streamingfast.net/osmflivech47.m3u8
Bloomberg,https://liveprodapnortheast.global.ssl.fastly.net/ap1/Channel-APTVqvs-AWS-tokyo-1/Source-APTVqvs-1000-1_live.m3u8
CH1综合台,https://live.streamingfast.net/osmflivech1.m3u8
中天新聞,http://seb.sason.top/sc/ztxw_fhd.m3u8
大愛1,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛2,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
半岛电视台,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
半岛新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
韩国中央台,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
韩国中央台,http://119.77.96.184:1935/chn21/chn21/playlist.m3u8
日本QVC,http://cdn-live1.qvc.jp/iPhone/800/800.m3u8
CBS新闻,http://cbsnewshd-lh.akamaihd.net/i/CBSNHD_7@199302/master.m3u8
TBS韩国,http://tbs.hscdn.com/tbstvweb/tbstv/playlist.m3u8
日本新闻24,http://www.news24.jp/livestream/index.m3u8
日本NHK,https://nhkw-zh-hlscomp.akamaized.net/8thz5iufork8wjip/playlist.m3u8
日テレNEWS24,https://n24-cdn-live.ntv.co.jp/ch01/High.m3u8
新加坡,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
P3.1印度,http://1hdru-hls-otcnet.cdnvideo.ru/onehdmusic/tracks-v1a1/index.m3u8
越南ANTVHD,http://antvlive.ab5c6921.cdnviet.com/antv/playlist.m3u8
大爱海外,https://pulltv3.wanfudaluye.com/live/tv3.m3u8
テレビ東京,http://203.162.235.41:16908
TvN,http://50.7.161.82:8278/streams/d/TVN/playlist.m3u8
凤凰资讯HD,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzx
凤凰中文HD,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzw
凤凰电影,rtmp://ivi.bupt.edu.cn:1935/livetv/fhdy
星空卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/startv
Star Sports,rtmp://ivi.bupt.edu.cn:1935/livetv/starsports
Channel[V],rtmp://ivi.bupt.edu.cn:1935/livetv/channelv
探索频道,rtmp://ivi.bupt.edu.cn:1935/livetv/discovery
国家地理频道,rtmp://ivi.bupt.edu.cn:1935/livetv/natlgeo
台湾-民视新闻,https://6.mms.vlog.xuite.net/hls/ftvtv/index.m3u8
阿拉伯半岛电视新闻网Al,http://mbnhls-lh.akamaihd.net/i/MBN_1@118619/master.m3u8
俄罗斯RBC,http://92.50.128.180/utv/1358/index.m3u8
俄罗斯Astrakhan,http://streaming.astrakhan.ru/astrakhan24/index.m3u8
澳门卫星,http://61.244.22.4/ch3/ch3.live/playelist.m3u8

